课号,序号,俄语,中文,词类,词类2,词类3,性,变格法,结尾字母,动词的体,变位法,语音交替
9,5,лес,"树林, 森林",名词,,,阳性,2,辅音,,,
9,6,купа́ться,"洗澡, 沐浴",动词,,,,,,未完成体,,
9,6,вы́купаться,"洗澡, 沐浴",动词,,,,,,完成体,,
9,8,лови́ть,"捕, 捉",动词,,,,,,未完成体,,
9,8,пойма́ть,"捕, 捉",动词,,,,,,完成体,,
9,10,загора́ть,晒黑,动词,,,,,,未完成体,,
9,10,загоре́ть,晒黑,动词,,,,,,完成体,,
9,12,ла́зить,(不定向)爬,动词,,,,,,未完成体,,
9,13,любова́ться,"欣赏, 观赏",动词,,,,,,未完成体,,
9,14,восхо́д,"(日, 月等的)出, 升",名词,,,阳性,2,辅音,,,
9,15,план,计划,名词,,,阳性,2,辅音,,,
9,16,Байка́л,贝加尔(湖),名词,,,阳性,2,辅音,,,
9,17,мысль,思想; 想法,名词,,,阴性,3,ь,,,
9,18,скуча́ть,"感到寂寞; 想念, 怀念",动词,,,,,,未完成体,,
9,18,соску́читься,"感到寂寞; 想念, 怀念",动词,,,,,,完成体,,
9,19,дыша́ть,呼吸,动词,,,,,,未完成体,,
9,19,подыша́ть,呼吸,动词,,,,,,完成体,,
9,20,во́здух,空气,名词,,,阳性,2,辅音,,,
9,21,зна́чит,"那么, 就是说",副词,连接词,,,,,,,
9,22,поле́зный,"有益的, 有好处的; 有用的",形容词,,,,,,,,
9,23,самолёт,飞机,名词,,,阳性,2,辅音,,,
9,24,прие́зд,"到达, 来到",名词,,,阳性,2,辅音,,,
9,25,С прие́здом!,欢迎到来!,,,,,,,,,
9,26,Во́лга,伏尔加河,名词,,,阴性,1,а,,,
9,27,теплохо́д,"内燃机船, 柴油机船",名词,,,阳性,2,辅音,,,
9,28,пейза́ж,"风景, 景色; 风景画",名词,,,阳性,2,辅音,,,
9,29,Со́чи,索契(俄罗斯黑海边的旅游城市),名词,,,阳性,2,辅音,,,
9,30,приро́да,(大)自然,名词,,,阴性,1,а,,,
9,31,возвраще́ние,"返回, 回来",名词,,,中性,2,е,,,
9,32,С возвраще́нием!,欢迎归来!,,,,,,,,,
9,33,чуде́сный,美妙的,形容词,,,,,,,,
9,34,шу́тка,玩笑,名词,,,阴性,1,а,,,
9,35,упрека́ть,"责备, 指责",动词,,,,,,未完成体,,
9,35,упрекну́ть,"责备, 指责",动词,,,,,,完成体,,
9,37,и́менно,"也就是, 确切说; 正是",副词,,,,,,,,
9,38,весе́нний,春天的,形容词,,,,,,,,
9,39,душа́,"心灵, 内心",名词,,,阴性,1,а,,,
9,40,хоте́ться,"想, 想要",动词,,,,,,未完成体,,
9,40,захоте́ться,"想, 想要",动词,,,,,,完成体,,
9,41,ра́достный,高兴的,形容词,,,,,,,,
9,42,ита́к,这样一来; 于是; 总之,副词,连接词,,,,,,,
9,43,фра́за,"句, 语句",名词,,,阴性,1,а,,,
9,44,зави́сеть,"受...支配, 依赖; 取决于...",动词,,,,,,未完成体,,
9,45,располага́ть,"拥有, 具有",动词,,,,,,未完成体,,
9,46,бу́дни,工作日,名词,,,复数专用,复数专用,и,,,
9,47,разгуля́ться,"散步消愁, 散心",动词,,,,,,完成体,,
9,48,ма́сса,"许多, 大量; 群众",名词,,,阴性,1,а,,,
9,49,объезжа́ть,(乘车等)走遍,动词,,,,,,未完成体,,
9,49,объе́здить,(乘车等)走遍,动词,,,,,,完成体,,
9,50,Пари́ж,巴黎,名词,,,阳性,2,辅音,,,
9,51,Ита́лия,意大利,名词,,,阴性,1,я,,,
9,52,кста́ти,恰好; 顺便,副词,,,,,,,,
9,53,трудого́лик,工作狂,名词,,,阳性,2,辅音,,,
9,54,пра́вильно,正确,副词,形容词,,,,,,,
9,55,организо́вывать,组织; 安排,动词,,,,,,未完成体,,
9,55,организова́ть,组织; 安排,动词,,,,,,完成体,,
9,56,пыта́ться,"试图, 企图",动词,,,,,,未完成体,,
9,56,попыта́ться,"试图, 企图",动词,,,,,,完成体,,
9,57,посло́вица,谚语,名词,,,阴性,1,а,,,
9,58,представля́ть,提交; 向...介绍; 想象,动词,,,,,,未完成体,,
9,58,предста́вить,提交; 向...介绍; 想象,动词,,,,,,完成体,,
9,59,зато́,但是,连词,,,,,,,,
9,60,поте́ха,"玩, 娱乐, 消遣",名词,,,阴性,1,а,,,
9,61,выта́скивать,"拖出, 拉出, 搬出",动词,,,,,,未完成体,,
9,61,вы́тащить,"拖出, 拉出, 搬出",动词,,,,,,完成体,,
9,62,пруд,"池塘, 水池",名词,,,阳性,2,辅音,,,
9,63,ры́бка,小鱼,名词,,,阴性,1,а,,,
9,64,скучнова́то,有些寂寞; 有点无聊,副词,,,,,,,,
10,1,случа́йно,偶然; 顺便问一下,副词,,,,,,,,
10,2,моби́льный,移动的,形容词,,,,,,,,
10,3,рабо́чий,办公的,形容词,,,,,,,,
10,4,запи́сывать,"记录下来, 给...注册",动词,,,,,,未完成体,,
10,4,записа́ть,"记录下来, 给...注册",动词,,,,,,完成体,,
10,5,дозва́ниваться,打通电话,动词,,,,,,未完成体,,
10,5,дозвони́ться,打通电话,动词,,,,,,完成体,,
10,6,ре́ктор,(大学)校长,名词,,,阳性,2,辅音,,,
10,7,гла́вный,主要的; 总的; 职位高的,形容词,,,,,,,,
10,8,пусть,"让..., 愿...",语气词,,,,,,,,
10,9,уезжа́ть,"(乘车等)动身, 离开",动词,,,,,,未完成体,,
10,9,уе́хать,"(乘车等)动身, 离开",动词,,,,,,完成体,,
10,10,спра́вочная,问讯处,名词,,,阴性,形容词变格,я,,,
10,11,прибыва́ть,"到达, 抵达",动词,,,,,,未完成体,,
10,11,прибы́ть,"到达, 抵达",动词,,,,,,完成体,,
10,12,рейс,航班,名词,,,阳性,2,辅音,,,
10,13,прилета́ть,"飞来, 飞到",动词,,,,,,未完成体,,
10,13,прилете́ть,"飞来, 飞到",动词,,,,,,完成体,,
10,14,расписа́ние,"时间表, 时刻表",名词,,,中性,2,е,,,
10,15,Шанха́й,上海,名词,,,阳性,2,辅音,,,
10,16,гости́ница,"旅馆, 饭店",名词,,,阴性,1,а,,,
10,17,кольцо́,"环, 圈; 戒指",名词,,,中性,2,о,,,
10,18,брони́ровать,专为某人保留(票、席位等),动词,,,,,,未完成体,,
10,18,заброни́ровать,专为某人保留(票、席位等),动词,,,,,,完成体,,
10,19,возмо́жный,可能的,形容词,,,,,,,,
10,20,интересова́ть,使...感兴趣,动词,,,,,,未完成体,,
10,21,па́спорт,护照,名词,,,阳性,2,辅音,,,
10,22,администра́тор,管理人员,名词,,,阳性,2,辅音,,,
10,23,телефо́нный,电话的,形容词,,,,,,,,
10,24,слу́жба,服务,名词,,,阴性,1,а,,,
10,25,тра́тить,"花费, 耗费",动词,,,,,,未完成体,,
10,25,потра́тить,"花费, 耗费",动词,,,,,,完成体,,
10,26,разгово́р,谈话,名词,,,阳性,2,辅音,,,
10,27,информа́ция,信息,名词,,,阴性,1,я,,,
10,28,воспи́тывать,"培养, 教育",动词,,,,,,未完成体,,
10,28,воспита́ть,"培养, 教育",动词,,,,,,完成体,,
10,29,снима́ть,"拿下, 摘下; 解除",动词,,,,,,未完成体,,
10,29,снять,"拿下, 摘下; 解除",动词,,,,,,完成体,,
10,30,тру́бка,话筒,名词,,,阴性,1,а,,,
10,31,говори́ть,"谈一谈, 谈一会儿",动词,,,,,,未完成体,,
10,31,поговори́ть,"谈一谈, 谈一会儿",动词,,,,,,完成体,,
10,32,существова́ть,存在,动词,,,,,,未完成体,,
10,33,предоставля́ть,"提供, 供给使用",动词,,,,,,未完成体,,
10,33,предоста́вить,"提供, 供给使用",动词,,,,,,完成体,,
10,34,услу́га,"服务, 帮助",名词,,,阴性,1,а,,,
10,35,необходи́мость,"必要性, 需要",名词,,,阴性,3,ь,,,
10,36,э́кстренный,"紧急的, 迫切的",形容词,,,,,,,,
10,37,пожа́рный,"火警的, 消防的",形容词,,,,,,,,
10,38,охра́на,"保护, 保卫, 警卫队",名词,,,阴性,1,а,,,
10,39,мили́ция,"民警机关, 民警局",名词,,,阴性,1,я,,,
10,40,благодаря́,"多亏, 由于",前置词,,,,,,,,
10,41,техни́ческий,技术的,形容词,,,,,,,,
10,42,сле́довать,"跟随; 应该, 应当",动词,,,,,,未完成体,,
10,43,та́кже,"同样地, 也",副词,连词,,,,,,,
10,44,апте́ка,"药房, 药店",名词,,,阴性,1,а,,,
10,45,лека́рство,药,名词,,,中性,2,о,,,
10,46,консульта́ция,咨询,名词,,,阴性,1,я,,,
10,47,пла́тный,收费的,形容词,,,,,,,,
10,48,меня́ть,"交换, 更换",动词,,,,,,未完成体,,
10,48,поменя́ть,"交换, 更换",动词,,,,,,完成体,,
10,49,о́тчество,父称,名词,,,中性,2,о,,,
10,50,да́та,日期,名词,,,阴性,1,а,,,
10,51,све́дение,(常用复数)消息,名词,,,,,,,,
10,52,спра́вочно-информацио́нный,问讯的,形容词,,,,,,,,
10,53,организа́ция,"组织, 机构, 机关",名词,,,阴性,1,я,,,
10,54,сообща́ть,通知; 宣布,动词,,,,,,未完成体,,
10,54,сообщи́ть,通知; 宣布,动词,,,,,,完成体,,
10,55,наоборо́т,相反,副词,,,,,,,,
10,56,оде́жда,"衣服, 服装",名词,,,阴性,1,а,,,
10,57,рассчи́тывать,"期望, 指望",动词,,,,,,未完成体,,
10,57,рассчита́ть,"期望, 指望",动词,,,,,,完成体,,
10,58,прогре́сс,进步,名词,,,阳性,2,辅音,,,
10,59,спра́вочник,"手册, 指南",名词,,,阳性,2,辅音,,,
11,1,в пло́хо,不好,,,,,,,,,
11,2,нездоро́виться,"不舒服, 有病",动词,,,,,,未完成体,,
11,3,стра́шный,"可怕的, 很厉害的",形容词,,,,,,,,
11,4,Ничего́ стра́шного,没什么可怕的 (没什么了不起的),,,,,,,,,
11,5,всё-таки,"仍然, 还是",,,,,,,,,
11,6,лицо́,"脸, 脸色; 气色",名词,,,中性,2,о,,,
11,7,На (ком) лица́ нет,(谁)脸色很难看,,,,,,,,,
11,8,уста́лость,"疲劳, 疲倦",名词,,,阴性,3,ь,,,
11,9,кружи́ться,旋转,动词,,,,,,未完成体,,
11,9,закружи́ться,旋转,动词,,,,,,完成体,,
11,10,Голова́ кру́жится (у кого́),(谁)头晕,,,,,,,,,
11,11,показа́ться,"去看病, 出现",动词,,,,,,完成体,,
11,12,терапе́вт,内科医生,名词,,,阳性,2,辅音,,,
11,13,го́рло,喉,名词,,,中性,2,о,,,
11,14,на́сморк,"伤风, 鼻炎",名词,,,阳性,2,辅音,,,
11,15,простужа́ться,"着凉, 感冒",动词,,,,,,未完成体,,
11,15,простуди́ться,"着凉, 感冒",动词,,,,,,完成体,,
11,16,наве́рно,"大概, 大约",副词,,,,,,,,
11,17,осма́тривать,"检查, 参观",动词,,,,,,未完成体,,
11,17,осмотре́ть,"检查, 参观",动词,,,,,,完成体,,
11,18,о́пытный,有经验的,形容词,,,,,,,,
11,19,медици́на,医学,名词,,,阴性,1,а,,,
11,20,хиру́рг,外科医生,名词,,,阳性,2,辅音,,,
11,21,ка́шель,咳嗽,名词,,,阳性,2,ь,,,
11,22,желу́док,胃,名词,,,阳性,2,辅音,,,
11,23,понижа́ться,"变矮, 下降, 降低",动词,,,,,,未完成体,,
11,23,пони́зиться,"变矮, 下降, 降低",动词,,,,,,完成体,,
11,24,начина́ющий,新的; 有能力的,形容词,,,,,,,,
11,25,внима́тельный,"细心的, 关心人的",形容词,,,,,,,,
11,26,вы́лечить,医治; 治愈,动词,,,,,,完成体,,
11,26,выле́чивать,医治; 治愈,动词,,,,,,未完成体,,
11,27,до́ктор,"医生, 大夫; 博士",名词,,,阳性,2,辅音,,,
11,28,жа́ловаться,"抱怨, 说(有病, 痛等)",动词,,,,,,未完成体,,
11,28,пожа́ловаться,"抱怨, 说(有病, 痛等)",动词,,,,,,完成体,,
11,29,сочу́вствовать,同情,动词,,,,,,未完成体,,
11,30,обраща́ться,"找..., 向...提出",动词,,,,,,未完成体,,
11,30,обрати́ться,"找..., 向...提出",动词,,,,,,完成体,,
11,31,На что́ вы жа́луетесь?,您哪儿不舒服?,,,,,,,,,
11,32,термо́метр,温度表; 体温表,名词,,,阳性,2,辅音,,,
11,33,измеря́ть,"测定, 测量",动词,,,,,,未完成体,,
11,33,изме́рить,"测定, 测量",动词,,,,,,完成体,,
11,34,па́дать,"跌倒, 跌落",动词,,,,,,未完成体,,
11,34,упа́сть,"跌倒, 跌落",动词,,,,,,完成体,,
11,35,дух,精神,名词,,,阳性,2,辅音,,,
11,36,Не па́дайте ду́хом!,不要泄气!,,,,,,,,,
11,37,грипп,流行性感冒,名词,,,阳性,2,辅音,,,
11,38,полежа́ть,躺一会(儿),动词,,,,,,完成体,,
11,39,бюллете́нь,"通报, 简报; 病假证明",名词,,,阳性,2,ь,,,
11,40,реце́пт,"处方, 药方",名词,,,阳性,2,辅音,,,
11,41,еда́,"吃, 进餐; 吃的东西",名词,,,阴性,1,а,,,
11,42,просту́да,"着凉, 感冒",名词,,,阴性,1,а,,,
11,43,воспале́ние,炎症,名词,,,中性,2,е,,,
11,44,лёгкие,肺,名词,,,,形容词变格,е,,,
11,45,неда́вно,不久,副词,,,,,,,,
11,46,за (ско́лько вре́мени) до (чего́),...(若干时间)前,前置词,,,,,,,,
11,47,че́рез (ско́лько вре́мени) по́сле (чего́),后(若干时间),前置词,,,,,,,,
11,48,аппендици́т,阑尾炎,名词,,,阳性,2,辅音 ,,,
11,49,уда́чно,成功地,副词,,,,,,,,
11,50,поправля́ться,"健康得恢复, 复元, 好转",动词,,,,,,未完成体,,
11,50,попра́виться,"健康得恢复, 复元, 好转",动词,,,,,,完成体,,
11,51,выпи́сываться,出院,动词,,,,,,未完成体,,
11,51,вы́писаться,出院,动词,,,,,,完成体,,
11,52,на днях,"日前, 近几天内",,,,,,,,,
11,53,отправля́ть,"寄, 派遣, 派出",动词,,,,,,未完成体,,
11,53,отпра́вить,"寄, 派遣, 派出",动词,,,,,,完成体,,
11,54,как бу́дто,"好像, 似乎",,,,,,,,,
11,55,повы́шенный,"提高了的, 高于正常的",形容词,,,,,,,,
11,56,боле́знь,疾病,名词,,,阴性,3,ь,,,
11,57,медици́нский,"医疗的, 医学的",形容词,,,,,,,,
11,58,лечи́ть,"医治, 治疗",动词,,,,,,未完成体,,
11,58,вы́лечить,"医治, 治疗",动词,,,,,,完成体,,
11,59,да́льше,"随后, 以后; 继续下去",副词,,,,,,,,
11,60,рак,癌症,名词,,,阳性,2,辅音,,,
11,61,пуга́ться,害怕,动词,,,,,,未完成体,,
11,61,испуга́ться,害怕,动词,,,,,,完成体,,
11,62,неподви́жно,"不动地, 一动不动地",副词,,,,,,,,
11,63,алфави́т,字母表,名词,,,阳性,2,辅音,,,
11,64,близору́кость,近视,名词,,,阴性,3,ь,,,
11,65,волнова́ться,激动起来; 焦急起来,动词,,,,,,未完成体,,
11,65,заволнова́ться,激动起来; 焦急起来,动词,,,,,,完成体,,
11,66,пра́ктика,实践; 实习,名词,,,阴性,1,а,,,
11,67,це́лый,"完整的, 完全的; 真正的",形容词,,,,,,,,
11,68,прожива́ть,"活(若干时间), 居住(若干时间)",动词,,,,,,未完成体,,
11,68,прожи́ть,"活(若干时间), 居住(若干时间)",动词,,,,,,完成体,,
11,69,пульс,脉搏,名词,,,阳性,2,辅音,,,
11,70,никако́й,"任何也(不), 无论什么样也(不)",代词,,,,,,,,
11,71,стра́шно,可怕地,副词,,,,,,,,
11,72,стари́к,"老人, 老头(儿)",名词,,,阳性,2,辅音,,,
11,73,коро́ткий,"短的, 简短的",形容词,,,,,,,,
11,74,бума́жка,一小块纸,名词,,,阴性,1,а,,,
11,75,отдава́ть,"交还, 交给",动词,,,,,,未完成体,,
11,75,отда́ть,"交还, 交给",动词,,,,,,完成体,,
11,77,карма́н,"衣袋, 衣兜",名词,,,阳性,2,辅音,,,
11,78,апте́карь,药剂师,名词,,,阳性,2,ь,,,
11,79,возвраща́ть,"还, 归还",动词,,,,,,未完成体,,
11,79,верну́ть,"还, 归还",动词,,,,,,完成体,,
11,80,продукто́вый,食品的,形容词,,,,,,,,
11,81,рестора́н,"饭店, 餐厅",名词,,,阳性,2,辅音,,,
11,82,удивле́ние,惊奇,名词,,,中性,2,е,,,
11,83,бифште́кс,煎牛排,名词,,,阳性,2,辅音,,,
11,84,буты́лка,玻璃瓶; 一瓶,名词,,,阴性,1,а,,,
11,85,прогу́лка,"散步, 游玩",名词,,,阴性,1,а,,,
11,86,спаса́ть,"救, 拯救",动词,,,,,,未完成体,,
11,86,спасти́,"救, 拯救",动词,,,,,,完成体,,
11,88,живо́й,"活的, 活着的; 活泼的",形容词,,,,,,,,
11,89,до сих по́р,至今,,,,,,,,,
12,1,руба́шка,衬衫,名词,,,阴性,1,а,,,
12,2,се́рый,灰色的,形容词,,,,,,,,
12,3,цвет,"颜色, 色, 色调",名词,,,阳性,2,辅音,,,
12,4,разме́р,"号码, 尺寸",名词,,,阳性,2,辅音,,,
12,5,ме́рить,试穿,动词,,,,,,未完成体,,
12,5,приме́рить,试穿,动词,,,,,,完成体,,
12,6,завора́чивать,"包起来, 包装",动词,,,,,,未完成体,,
12,6,заверну́ть,"包起来, 包装",动词,,,,,,完成体,,
12,7,ку́ртка,"(男式)上衣, 夹克衫",名词,,,阴性,1,а,,,
12,8,брю́ки,裤子,名词,,,复数专用,复数专用,и,,,
12,9,ко́фта,女短上衣,名词,,,阴性,1,а,,,
12,10,сви́тер,(套头的)高领毛线衣,名词,,,阳性,2,辅音,,,
12,11,блу́зка,(女式)衬衫,名词,,,阴性,1,а,,,
12,12,ю́бка,裙子,名词,,,阴性,1,а,,,
12,13,све́тлый,明亮的; 浅色的,形容词,,,,,,,,
12,14,тёмный,"黑暗的, 深色的",形容词,,,,,,,,
12,15,сороково́й,第40,数词,,,,,,,,
12,16,ту́фли,"鞋, 便鞋",名词,,,复数专用,复数专用,и,,,
12,17,тот,"那个, 那",代词,,,,,,,,
12,18,кори́чневый,棕色的,形容词,,,,,,,,
12,19,сапоги́,皮靴,名词,,,复数专用,复数专用,и,,,
12,20,кроссо́вки,"旅游鞋, 运动鞋",名词,,,复数专用,复数专用,и,,,
12,21,та́пки,平底便鞋,名词,,,复数专用,复数专用,и,,,
12,22,боти́нки,"(半高腰的)鞋, 皮鞋",名词,,,复数专用,复数专用,и,,,
12,23,чёрный,黑色的,形容词,,,,,,,,
12,24,жёлтый,黄色的,形容词,,,,,,,,
12,25,широ́кий,宽的; (指衣服、鞋帽等)肥大的,形容词,,,,,,,,
12,26,коро́бка,"盒, 盒子",名词,,,阴性,1,а,,,
12,27,па́чка,"一包, 一束",名词,,,阴性,1,а,,,
12,28,ко́фе,咖啡,名词,,,阳性,不变格,е,,,
12,29,грамм,克,名词,,,阳性,2,辅音,,,
12,30,деся́ток,"十, 十个",名词,,,阳性,2,辅音,,,
12,31,яйцо́,鸡蛋,名词,,,中性,2,о ,,,
12,32,плати́ть,"支付, 付款",动词,,,,,,未完成体,,
12,32,заплати́ть,"支付, 付款",动词,,,,,,完成体,,
12,33,чек,"付款小票, 取货单",名词,,,阳性,2,辅音,,,
12,34,пече́нье,饼干,名词,,,中性,2,е,,,
12,35,шокола́д,巧克力,名词,,,阳性,2,辅音,,,
12,36,соль,"盐, 食盐",名词,,,阴性,3,ь,,,
12,37,сигаре́та,香烟,名词,,,阴性,1,а,,,
12,38,кило́,公斤,名词,,,中性,不变格,о ,,,
12,39,опла́чивать,"付...钱, 付...费",动词,,,,,,未完成体,,
12,39,оплати́ть,"付...钱, 付...费",动词,,,,,,完成体,,
12,40,поку́пка,买的东西; 购物,名词,,,阴性,1,а,,,
12,41,во́зле,"在近旁, 在...旁边",前置词,,,,,,,,
12,42,креди́тный,信用的,形容词,,,,,,,,
12,43,специализи́рованный,专门的,形容词,,,,,,,,
12,44,о́бувь,鞋(集合名词),名词,,,阴性,3,ь,,,
12,45,та́к да́лее,等等,,,,,,,,,
12,46,моло́чный,乳制的,形容词,,,,,,,,
12,47,практи́чески,实际上,副词,,,,,,,,
12,48,ГУМ,国营百货商店,名词,,,阳性,不变格,辅音,,,
12,49,о́коло,周围; (предл.) 在旁边,前置词,,,,,,,,
12,50,назнача́ть,"规定, 约定, 指定",动词,,,,,,未完成体,,
12,50,назна́чить,"规定, 约定, 指定",动词,,,,,,完成体,,
12,51,ЦУМ,中央百货商店,名词,,,阳性,不变格,辅音,,,
12,52,арти́стка,女演员,名词,,,阴性,1,а,,,
12,53,устава́ть,"劳累, 疲倦",动词,,,,,,未完成体,,
12,53,уста́ть,"劳累, 疲倦",动词,,,,,,完成体,,
12,54,туристи́ческий,旅游的,形容词,,,,,,,,
12,55,инструме́нт,工具,名词,,,阳性,2,辅音,,,
12,56,уме́ть,会,动词,,,,,,未完成体,,
12,57,ре́дко,"极少, 不经常",副词,,,,,,,,
12,58,шу́ба,毛皮大衣,名词,,,阴性,1,а,,,
12,59,продаве́ц,售货员,名词,,,阳性,2,辅音,,,
12,60,продавщи́ца,女售货员,名词,,,阴性,1,а,,,
12,61,ошиба́ться,"弄错, 想错",动词,,,,,,未完成体,,
12,61,ошиби́ться,"弄错, 想错",动词,,,,,,完成体,,
12,62,симпати́чный,可爱的,形容词,,,,,,,,
12,63,ме́рить,试穿,动词,,,,,,未完成体,,
12,64,па́ра,一双,名词,,,阴性,1,а,,,
12,65,бога́тый,很有钱的; 丰富的,形容词,,,,,,,,
12,66,приноси́ть,"带来, 拿来",动词,,,,,,未完成体,,
12,66,принести́,"带来, 拿来",动词,,,,,,完成体,,
12,67,дешёвый,便宜的,形容词,,,,,,,,
12,68,арбу́з,西瓜,名词,,,阳性,2,辅音,,,
12,69,мы́шка,鼠标,名词,,,阴性,1,а,,,
12,70,при́нтер,打印机,名词,,,阳性,2,辅音,,,
12,71,огро́мный,大的,形容词,,,,,,,,
12,72,прести́жный,体面的; 高档的; 有威信的,形容词,,,,,,,,
12,73,вы́бор,选择; 可供选择的可能性,名词,,,阳性,2,辅音,,,
12,74,това́р,商品,名词,,,阳性,2,辅音,,,
12,75,внима́ние,注意; 关心,名词,,,中性,2,е,,,
12,76,покупа́тель,"顾客, 买主",名词,,,阳性,2,е,,,
12,77,обслу́живание,服务,名词,,,中性,2,е,,,
12,78,привлека́ть,"吸引, 引起兴趣, 引起注意",动词,,,,,,未完成体,,
12,78,привле́чь,"吸引, 引起兴趣, 引起注意",动词,,,,,,完成体,,
12,79,мне́ние,"看法, 观点",名词,,,中性,2,е,,,
12,80,не́который,"某种, 某一; 某些",形容词,,,,,,,,
12,81,лишь,"只, 仅仅; 只要",,,,,,,,,
